City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
614,Lucea,JM,78.66,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
622,Sabang,ID,83.26,broken clouds,5.8933,95.3214,Hotel Citra
624,Fundacion,CO,80.96,broken clouds,10.5207,-74.185,ITN Fundación Magdalena
632,Chirongui,YT,80.53,clear sky,-12.9319,45.1483,La Villa Mahatsara
641,Punta Cardon,VE,77.94,few clouds,11.6581,-70.215,Bambuda hotel
649,Koungou,YT,80.31,clear sky,-12.7336,45.2042,Villa Netibor
651,Tucuma,BR,76.39,overcast clouds,-0.1833,-50.05,
654,Bolgatanga,GH,83.68,overcast clouds,10.7856,-0.8514,Mama's Place
661,West Bay,KY,80.01,clear sky,19.3667,-81.4167,Calypso Cove
667,Bowen,AU,79.09,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
670,Dhidhdhoo,MV,84.6,overcast clouds,6.8833,73.1,Dhidhoo beach
672,Marawi,PH,81.7,broken clouds,7.9986,124.2928,Derogongan Residence
673,Manay,PH,84.31,overcast clouds,7.215,126.5397,Caryl and Karl Inn
679,Saint-Pierre,RE,75.29,clear sky,-21.3393,55.4781,Lindsey Hôtel
681,Buckeye,US,79.81,broken clouds,33.3703,-112.5838,Buckeye Motor Hotel
682,Iralaya,HN,79.5,scattered clouds,15.0,-83.2333,Iglesia morava renovada
686,Clarence Town,AU,76.6,overcast clouds,-32.5833,151.7833,River Downs Cottage
